Rk,Player,brefid, Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,FT%,2P%,3P%,eFG%
114,Betnijah Laney,laneybe01w,2019,25,IND,WNBA,0.1,34,27,877,77,213,57,147,20,66,18,31,32,143,59,48,4,49,55,192,0.362,0.581,0.388,0.303,0.408
115,Victoria Macaulay,macauvi01w,2019,28,CHI,WNBA,0.1,5,0,22,2,5,2,5,0,0,2,2,1,4,0,2,1,0,3,6,0.4,1,0.4,,0.4
116,Kim Mestdagh,mestdki01w,2019,29,WAS,WNBA,0.1,15,0,71,7,18,1,3,6,15,2,2,1,4,6,2,0,6,5,22,0.389,1,0.333,0.4,0.556
117,Jessica Shepard,shepaje01w,2019,22,MIN,WNBA,0.1,6,0,112,11,29,10,22,1,7,6,8,9,34,21,2,1,15,9,29,0.379,0.75,0.455,0.143,0.397
118,Shavonte Zellous,zellosh01w,2019,32,SEA,WNBA,0.1,31,4,432,44,116,38,84,6,32,30,40,6,48,45,10,6,35,44,124,0.379,0.75,0.452,0.188,0.405
119,Jillian Alleyne,alleyji01w,2019,24,MIN,WNBA,0,5,0,14,2,6,2,6,0,0,0,0,2,5,1,0,1,0,0,4,0.333,,0.333,,0.333
120,Kenisha Bell,bellke01w,2019,23,MIN,WNBA,0,3,0,11,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,,,0,0
121,Brittany Boyd,boydbr01w,2019,26,NYL,WNBA,0,33,17,649,71,180,64,157,7,23,26,34,27,121,151,47,4,81,68,175,0.394,0.765,0.408,0.304,0.414
122,Karima Christmas-Kelly,chriska02w,2019,29,MIN,WNBA,0,6,0,72,5,18,2,7,3,11,3,5,1,5,6,5,1,4,8,16,0.278,0.6,0.286,0.273,0.361
123,Kahleah Copper,coppeka01w,2019,24,CHI,WNBA,0,34,0,502,79,204,64,155,15,49,54,70,12,64,30,14,3,43,51,227,0.387,0.771,0.413,0.306,0.424
124,Jamierra Faulkner,faulkja01w,2019,27,CHI,WNBA,0,13,0,72,6,18,5,9,1,9,4,8,2,4,11,2,0,5,8,17,0.333,0.5,0.556,0.111,0.361
125,Anriel Howard,howaran01w,2019,22,SEA,WNBA,0,3,0,20,2,5,1,3,1,2,0,0,2,3,0,1,0,2,4,5,0.4,,0.333,0.5,0.5
126,Erica McCall,mccaler01w,2019,23,IND,WNBA,0,15,0,104,3,22,3,22,0,0,8,8,11,27,6,1,6,3,13,14,0.136,1,0.136,,0.136
127,Brooke McCarty-Williams,mccarbr01w,2019,23,DAL,WNBA,0,34,3,447,26,90,8,40,18,50,11,12,10,45,64,16,1,29,42,81,0.289,0.917,0.2,0.36,0.389
128,Angel McCoughtry,mccouan01w,2019,32,ATL,WNBA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
129,Jaime Nared,naredja01w,2019,23,LVA,WNBA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,
130,Karlie Samuelson,samueka01w,2019,24,TOT,WNBA,0,7,0,84,3,14,0,2,3,12,0,0,1,4,5,3,1,0,8,9,0.214,,0,0.25,0.321
131,Brittney Sykes,sykesbr01w,2019,25,ATL,WNBA,0,34,27,880,128,351,100,243,28,108,64,91,25,151,85,20,16,68,59,348,0.365,0.703,0.412,0.259,0.405
132,Asia Taylor,tayloas01w,2019,27,TOT,WNBA,0,12,0,96,10,28,10,26,0,2,6,8,8,21,8,2,1,7,10,26,0.357,0.75,0.385,0,0.357
133,Gabby Williams,williga01w,2019,22,CHI,WNBA,0,33,2,527,75,181,68,140,7,41,29,40,14,72,68,23,7,55,41,186,0.414,0.725,0.486,0.171,0.434
134,Han Xu,xuha01w,2019,19,NYL,WNBA,0,18,0,143,24,58,19,48,5,10,1,2,2,15,2,3,4,2,6,54,0.414,0.5,0.396,0.5,0.457
135,Bridget Carleton,carlebr01w,2019,22,TOT,WNBA,-0.1,8,0,40,1,8,0,4,1,4,0,0,1,4,1,0,0,1,2,3,0.125,,0,0.25,0.188
136,Arica Carter,cartear01w,2019,22,PHO,WNBA,-0.1,6,0,24,1,5,1,1,0,4,0,0,0,0,1,1,0,2,5,2,0.2,,1,0,0.2
137,Tina Charles,charlti01w,2019,30,NYL,WNBA,-0.1,33,33,1028,220,566,209,507,11,59,108,133,65,249,78,23,29,85,92,559,0.389,0.812,0.412,0.186,0.398
138,Marie Gulich,gulima01w,2019,25,ATL,WNBA,-0.1,31,1,349,39,108,31,83,8,25,16,22,35,85,19,5,24,32,62,102,0.361,0.727,0.373,0.32,0.398
139,Paris Kea,keapa01w,2019,23,IND,WNBA,-0.1,11,0,60,11,27,6,18,5,9,2,4,1,5,6,1,2,9,4,29,0.407,0.5,0.333,0.556,0.5
140,Kaleena Mosqueda-Lewis,mosquka01w,2019,25,SEA,WNBA,-0.1,31,4,435,65,163,37,81,28,82,14,14,9,36,16,8,5,36,40,172,0.399,1,0.457,0.341,0.485
